;Datetime;pv_P;pv_Q
480;2024-01-06 00:15:00;0.060848504;0
481;2024-01-06 00:30:00;0.060228272;0
482;2024-01-06 00:45:00;0.060587959;0
483;2024-01-06 01:00:00;0.060642425;0
484;2024-01-06 01:15:00;0.060637574;0
485;2024-01-06 01:30:00;0.134540795;0
486;2024-01-06 01:45:00;0.128271469;0
487;2024-01-06 02:00:00;0.126460194;0
488;2024-01-06 02:15:00;0.12665751;0
489;2024-01-06 02:30:00;0.126508907;0
490;2024-01-06 02:45:00;0.125869309;0
491;2024-01-06 03:00:00;0.126469872;0
492;2024-01-06 03:15:00;0.126568764;0
493;2024-01-06 03:30:00;0.067350167;0
494;2024-01-06 03:45:00;0.059658184;0
495;2024-01-06 04:00:00;0.06081095;0
496;2024-01-06 04:15:00;0.060215881;0
497;2024-01-06 04:30:00;0.059288734;0
498;2024-01-06 04:45:00;0.070477792;0
499;2024-01-06 05:00:00;0.141726843;0
500;2024-01-06 05:15:00;0.126358717;0
501;2024-01-06 05:30:00;0.124217081;0
502;2024-01-06 05:45:00;0.124587975;0
503;2024-01-06 06:00:00;0.126990182;0
504;2024-01-06 06:15:00;0.127005021;0
505;2024-01-06 06:30:00;0.128234549;0
506;2024-01-06 06:45:00;0.127987416;0
507;2024-01-06 07:00:00;0.12808988;0
508;2024-01-06 07:15:00;0.127755432;0
509;2024-01-06 07:30:00;0.128419513;0
510;2024-01-06 07:45:00;0.120788335;0
511;2024-01-06 08:00:00;0.06278553;0
512;2024-01-06 08:15:00;0.062504563;0
513;2024-01-06 08:30:00;0.062446306;0
514;2024-01-06 08:45:00;0.062371383;0
515;2024-01-06 09:00:00;0.061529072;0
516;2024-01-06 09:15:00;0.147344414;0
517;2024-01-06 09:30:00;0.129300315;0
518;2024-01-06 09:45:00;0.129615525;0
519;2024-01-06 10:00:00;0.132463575;0
520;2024-01-06 10:15:00;0.12335626;0
521;2024-01-06 10:30:00;0.070414814;0
522;2024-01-06 10:45:00;-0.016863662;0
523;2024-01-06 11:00:00;-0.188025364;0
524;2024-01-06 11:15:00;-0.112332278;0
525;2024-01-06 11:30:00;-0.124340842;0
526;2024-01-06 11:45:00;-0.171618253;0
527;2024-01-06 12:00:00;-0.174259332;0
528;2024-01-06 12:15:00;-0.124248629;0
529;2024-01-06 12:30:00;-0.132947122;0
530;2024-01-06 12:45:00;-0.058938096;0
531;2024-01-06 13:00:00;-0.015588403;0
532;2024-01-06 13:15:00;-0.008403528;0
533;2024-01-06 13:30:00;-0.025112856;0
534;2024-01-06 13:45:00;0.013283875;0
535;2024-01-06 14:00:00;0.052105054;0
536;2024-01-06 14:15:00;0.063122632;0
537;2024-01-06 14:30:00;0.060716296;0
538;2024-01-06 14:45:00;0.060810169;0
539;2024-01-06 15:00:00;0.060503592;0
540;2024-01-06 15:15:00;0.061052078;0
541;2024-01-06 15:30:00;0.061453333;0
542;2024-01-06 15:45:00;0.061293508;0
543;2024-01-06 16:00:00;0.06105555;0
544;2024-01-06 16:15:00;0.060781068;0
545;2024-01-06 16:30:00;0.060863683;0
546;2024-01-06 16:45:00;0.061541166;0
547;2024-01-06 17:00:00;0.08694049;0
548;2024-01-06 17:15:00;0.138760761;0
549;2024-01-06 17:30:00;0.128844291;0
550;2024-01-06 17:45:00;0.128005042;0
551;2024-01-06 18:00:00;0.127987889;0
552;2024-01-06 18:15:00;0.127969114;0
553;2024-01-06 18:30:00;0.127747778;0
554;2024-01-06 18:45:00;0.096557554;0
555;2024-01-06 19:00:00;0.06046335;0
556;2024-01-06 19:15:00;0.06232391;0
557;2024-01-06 19:30:00;0.062382306;0
558;2024-01-06 19:45:00;0.062328321;0
559;2024-01-06 20:00:00;0.062472024;0
560;2024-01-06 20:15:00;0.078200179;0
561;2024-01-06 20:30:00;0.142511828;0
562;2024-01-06 20:45:00;0.128582404;0
563;2024-01-06 21:00:00;0.12662875;0
564;2024-01-06 21:15:00;0.127648776;0
565;2024-01-06 21:30:00;0.128468782;0
566;2024-01-06 21:45:00;0.129047248;0
567;2024-01-06 22:00:00;0.128077068;0
568;2024-01-06 22:15:00;0.126803774;0
569;2024-01-06 22:30:00;0.126646262;0
570;2024-01-06 22:45:00;0.126425863;0
571;2024-01-06 23:00:00;0.127017017;0
572;2024-01-06 23:15:00;0.127113695;0
573;2024-01-06 23:30:00;0.126934233;0
574;2024-01-06 23:45:00;0.127244702;0
575;2024-01-07 00:00:00;0.127629803;0
576;2024-01-07 00:15:00;0.127215743;0
577;2024-01-07 00:30:00;0.12729615;0
578;2024-01-07 00:45:00;0.127363671;0
579;2024-01-07 01:00:00;0.127204129;0
580;2024-01-07 01:15:00;0.127077634;0
581;2024-01-07 01:30:00;0.127828076;0
582;2024-01-07 01:45:00;0.127669896;0
583;2024-01-07 02:00:00;0.127433142;0
584;2024-01-07 02:15:00;0.12775985;0
585;2024-01-07 02:30:00;0.127713882;0
586;2024-01-07 02:45:00;0.127483688;0
587;2024-01-07 03:00:00;0.127777996;0
588;2024-01-07 03:15:00;0.127697461;0
589;2024-01-07 03:30:00;0.127440386;0
590;2024-01-07 03:45:00;0.127863759;0
591;2024-01-07 04:00:00;0.127812489;0
592;2024-01-07 04:15:00;0.127565715;0
593;2024-01-07 04:30:00;0.12778371;0
594;2024-01-07 04:45:00;0.127590944;0
595;2024-01-07 05:00:00;0.127479367;0
596;2024-01-07 05:15:00;0.127781991;0
597;2024-01-07 05:30:00;0.12765518;0
598;2024-01-07 05:45:00;0.12764665;0
599;2024-01-07 06:00:00;0.127584943;0
600;2024-01-07 06:15:00;0.127712652;0
